,round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer,shapes,precision,recall,fbeta_score,support
68,25,1.0169953444908406,0.5022988319396973,0.47376488287303103,0.7411242723464966,<function relu at 0x7fbc08d68620>,128,0.01,25,256,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,2.0,<class 'keras.optimizers.Adam'>,funnel,0.6303030303030303,0.4007707129094412,0.4899882214369846,
141,25,0.6966600955217734,0.5,0.6959165173639678,0.5207100510597229,<function relu at 0x7fbc08d68620>,256,0.1,25,256,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,0.01,<class 'keras.optimizers.Adam'>,funnel,0.5990566037735849,0.48940269749518306,0.5387062566277837,
89,25,0.9253345188053175,0.5,0.49572916690414476,0.7312623262405396,<function relu at 0x7fbc08d68620>,128,0.1,25,128,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,2.0,<class 'keras.optimizers.Adam'>,funnel,0.6206896551724138,0.4161849710982659,0.4982698961937716,
33,10,0.6988792649630843,0.49885058403015137,0.7188675447093429,0.49802762269973755,<function relu at 0x7fbc08d68620>,64,0.1,10,256,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,0.01,<class 'keras.optimizers.Adam'>,funnel,0.610079575596817,0.44315992292870904,0.5133928571428571,
102,10,0.7550133875046653,0.4965517222881317,0.7408563680432487,0.5182445645332336,<function relu at 0x7fbc08d68620>,256,0.01,10,256,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,0.01,<class 'keras.optimizers.Adam'>,funnel,0.5774378585086042,0.581888246628131,0.5796545105566219,
78,10,0.7315395027741619,0.4931034445762634,0.7188571950152546,0.5226824283599854,<function relu at 0x7fbc08d68620>,128,0.1,10,256,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,0.01,<class 'keras.optimizers.Adam'>,funnel,0.5870535714285714,0.5067437379576107,0.5439503619441571,
91,25,0.8691511366559171,0.4873563349246979,0.5563051914557432,0.6499013900756836,<function relu at 0x7fbc08d68620>,128,0.1,25,256,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,1.0,<class 'keras.optimizers.Adam'>,funnel,0.6254295532646048,0.35067437379576105,0.4493827160493827,
6,10,0.8779615033632038,0.48620688915252686,0.8336386796990796,0.5113412141799927,<function relu at 0x7fbc08d68620>,64,0.01,10,256,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,0.01,<class 'keras.optimizers.Adam'>,funnel,0.6118012422360248,0.37957610789980734,0.4684898929845422,
135,25,0.7148101899815702,0.4839080572128296,0.7092415726866713,0.516765296459198,<function relu at 0x7fbc08d68620>,256,0.1,25,128,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,0.01,<class 'keras.optimizers.Adam'>,funnel,0.5802752293577982,0.48747591522157996,0.5298429319371728,
5,10,0.7725627559354935,0.4793103337287903,0.5701342981007442,0.6572978496551514,<function relu at 0x7fbc08d68620>,64,0.01,10,128,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,2.0,<class 'keras.optimizers.Adam'>,funnel,0.6375,0.2947976878612717,0.4031620553359684,
75,10,0.7708392822879484,0.47356322407722473,0.7635988798837455,0.5108481049537659,<function relu at 0x7fbc08d68620>,128,0.1,10,128,2,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,0.01,<class 'keras.optimizers.Adam'>,funnel,0.5950155763239875,0.36801541425818884,0.4547619047619048,
32,10,0.7643394963494663,0.4402298927307129,0.5672491514941409,0.6711045503616333,<function relu at 0x7fbc08d68620>,64,0.1,10,256,1,<function sigmoid at 0x7fbc08d68730>,<function binary_crossentropy at 0x7fbc08d980d0>,2.0,<class 'keras.optimizers.Adam'>,funnel,0.5610687022900763,0.2832369942196532,0.3764404609475032,
