round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,lr,optimizer
1,145.4807160292375,0.44243207573890686,427.2490936634743,0.5352191,<function relu at 0x1370a5d90>,32,0.30000000000000004,50,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,326.1330000666412,0.5717982053756714,468.62689684604976,0.5091514,<function relu at 0x1370a5d90>,32,0.30000000000000004,50,128,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,189.76017439473338,0.5692108869552612,599.560298198207,0.49861342,<function relu at 0x1370a5d90>,32,0.30000000000000004,50,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,142.90141521419312,0.4618369936943054,470.1896275135787,0.5013866,<function relu at 0x1370a5d90>,32,0.30000000000000004,50,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,119.56338830629574,0.5381630063056946,544.5386228471482,0.5180255,<function relu at 0x1370a5d90>,32,0.30000000000000004,50,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,176.1930409143998,0.43725743889808655,487.5904519011825,0.50471437,<function relu at 0x1370a5d90>,32,0.30000000000000004,50,256,1,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
1,123.94163641491652,0.5808538198471069,427.62647618417003,0.50083196,<function relu at 0x1370a5d90>,32,0.30000000000000004,50,256,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.Adam'>
1,157.4899360488951,0.5640362501144409,444.77820766150654,0.52024406,<function relu at 0x1370a5d90>,32,0.30000000000000004,50,256,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.5,<class 'keras.optimizers.RMSprop'>
1,160.0411042365189,0.46571797132492065,435.28937937164727,0.5196894,<function relu at 0x1370a5d90>,32,0.30000000000000004,50,256,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.Adam'>
1,95.27808423554296,0.4747736155986786,442.92466806082746,0.515807,<function relu at 0x1370a5d90>,32,0.30000000000000004,50,256,2,<function sigmoid at 0x1370a5ea0>,<function binary_crossentropy at 0x137054730>,0.75,<class 'keras.optimizers.RMSprop'>
