winner,loser,method,how,round,event_name,date,venue,city,country,attendance,url
Randy Couture,Vitor Belfort,tko,punches,,UFC 15: Collision Course,1997-10-17,Casino Magic Bay St. Louis,bay st louis,usa,,https://en.wikipedia.org/wiki/UFC_15
Mark Kerr,Dwayne Cason,submission,rearnaked choke,,UFC 15: Collision Course,1997-10-17,Casino Magic Bay St. Louis,bay st louis,usa,,https://en.wikipedia.org/wiki/UFC_15
Mark Kerr,Greg Stott,ko,knee,,UFC 15: Collision Course,1997-10-17,Casino Magic Bay St. Louis,bay st louis,usa,,https://en.wikipedia.org/wiki/UFC_15
Dave Beneteau,Carlos Barreto,decision,unanimous,,UFC 15: Collision Course,1997-10-17,Casino Magic Bay St. Louis,bay st louis,usa,,https://en.wikipedia.org/wiki/UFC_15
Alex Hunter,Harry Moskowitz,decision,split,,UFC 15: Collision Course,1997-10-17,Casino Magic Bay St. Louis,bay st louis,usa,,https://en.wikipedia.org/wiki/UFC_15
Dwayne Cason,Houston Dorr,tko,punches,,UFC 15: Collision Course,1997-10-17,Casino Magic Bay St. Louis,bay st louis,usa,,https://en.wikipedia.org/wiki/UFC_15
Randy Couture,Maurice Smith ,decision,,1.0,UFC Japan: Ultimate Japan,1997-12-21,Yokohama Arena,yokohama,japan,5000.0,https://en.wikipedia.org/wiki/UFC_Japan:_Ultimate_Japan
Kazushi Sakuraba,Marcus Silveira,submission,armbar,1.0,UFC Japan: Ultimate Japan,1997-12-21,Yokohama Arena,yokohama,japan,5000.0,https://en.wikipedia.org/wiki/UFC_Japan:_Ultimate_Japan
Vitor Belfort,Joe Charles,submission,armbar,1.0,UFC Japan: Ultimate Japan,1997-12-21,Yokohama Arena,yokohama,japan,5000.0,https://en.wikipedia.org/wiki/UFC_Japan:_Ultimate_Japan
Frank Shamrock,Kevin Jackson,submission,armbar,1.0,UFC Japan: Ultimate Japan,1997-12-21,Yokohama Arena,yokohama,japan,5000.0,https://en.wikipedia.org/wiki/UFC_Japan:_Ultimate_Japan
Kazushi Sakuraba,Marcus Silveira,no contest,contest premature stoppage,1.0,UFC Japan: Ultimate Japan,1997-12-21,Yokohama Arena,yokohama,japan,5000.0,https://en.wikipedia.org/wiki/UFC_Japan:_Ultimate_Japan
Tank Abbott,Yoji Anjo,decision,,1.0,UFC Japan: Ultimate Japan,1997-12-21,Yokohama Arena,yokohama,japan,5000.0,https://en.wikipedia.org/wiki/UFC_Japan:_Ultimate_Japan
Tra Telligman,Brad Kohler,submission,armbar,1.0,UFC Japan: Ultimate Japan,1997-12-21,Yokohama Arena,yokohama,japan,5000.0,https://en.wikipedia.org/wiki/UFC_Japan:_Ultimate_Japan
Frank Shamrock ,Igor Zinoviev,ko,slam,,UFC 16: Battle in the Bayou,1998-03-13,Pontchartrain Center,new orleans,usa,4600.0,https://en.wikipedia.org/wiki/UFC_16
Tsuyoshi Kohsaka,Kimo Leopoldo,decision,unanimous,,UFC 16: Battle in the Bayou,1998-03-13,Pontchartrain Center,new orleans,usa,4600.0,https://en.wikipedia.org/wiki/UFC_16
Jerry Bohlander,Kevin Jackson,submission,armbar,,UFC 16: Battle in the Bayou,1998-03-13,Pontchartrain Center,new orleans,usa,4600.0,https://en.wikipedia.org/wiki/UFC_16
Pat Miletich,Chris Brennan,submission,shoulder choke,,UFC 16: Battle in the Bayou,1998-03-13,Pontchartrain Center,new orleans,usa,4600.0,https://en.wikipedia.org/wiki/UFC_16
Mikey Burnett,Eugenio Tadeu,tko,punches,,UFC 16: Battle in the Bayou,1998-03-13,Pontchartrain Center,new orleans,usa,4600.0,https://en.wikipedia.org/wiki/UFC_16
Pat Miletich,Townsend Saunders,decision,split,,UFC 16: Battle in the Bayou,1998-03-13,Pontchartrain Center,new orleans,usa,4600.0,https://en.wikipedia.org/wiki/UFC_16
Laverne Clark,Josh Stuart,tko,punches,,UFC 16: Battle in the Bayou,1998-03-13,Pontchartrain Center,new orleans,usa,4600.0,https://en.wikipedia.org/wiki/UFC_16
Chris Brennan,Courtney Turner,submission,armbar,,UFC 16: Battle in the Bayou,1998-03-13,Pontchartrain Center,new orleans,usa,4600.0,https://en.wikipedia.org/wiki/UFC_16
Frank Shamrock ,Jeremy Horn,submission,kneebar,,UFC 17: Redemption,1998-05-15,Mobile Civic Center,mobile,usa,,https://en.wikipedia.org/wiki/UFC_17
Pete Williams,Mark Coleman,ko,head kick,,UFC 17: Redemption,1998-05-15,Mobile Civic Center,mobile,usa,,https://en.wikipedia.org/wiki/UFC_17
Tank Abbott,Hugo Duarte,tko,punches,,UFC 17: Redemption,1998-05-15,Mobile Civic Center,mobile,usa,,https://en.wikipedia.org/wiki/UFC_17
Mike Van Arsdale,Joe Pardo,submission,kimura,,UFC 17: Redemption,1998-05-15,Mobile Civic Center,mobile,usa,,https://en.wikipedia.org/wiki/UFC_17
Andre Roberts,Harry Moskowitz,ko,elbow,,UFC 17: Redemption,1998-05-15,Mobile Civic Center,mobile,usa,,https://en.wikipedia.org/wiki/UFC_17
Chuck Liddell,Noe Hernandez,decision,unanimous,,UFC 17: Redemption,1998-05-15,Mobile Civic Center,mobile,usa,,https://en.wikipedia.org/wiki/UFC_17
Dan Henderson,Carlos Newton,decision,split,,UFC 17: Redemption,1998-05-15,Mobile Civic Center,mobile,usa,,https://en.wikipedia.org/wiki/UFC_17
Dan Henderson,Allan Goes,decision,unanimous,,UFC 17: Redemption,1998-05-15,Mobile Civic Center,mobile,usa,,https://en.wikipedia.org/wiki/UFC_17
Carlos Newton,Bob Gilstrap,submission,triangle choke,,UFC 17: Redemption,1998-05-15,Mobile Civic Center,mobile,usa,,https://en.wikipedia.org/wiki/UFC_17
Frank Shamrock ,John Lober,submission,punches,,UFC Brazil: Ultimate Brazil,1998-10-16,Ginásio da Portuguesa,são paulo,brazil,,https://en.wikipedia.org/wiki/UFC_Brazil
Pat Miletich,Mikey Burnett,decision,split,,UFC Brazil: Ultimate Brazil,1998-10-16,Ginásio da Portuguesa,são paulo,brazil,,https://en.wikipedia.org/wiki/UFC_Brazil
Vitor Belfort,Wanderlei Silva,tko,punches,,UFC Brazil: Ultimate Brazil,1998-10-16,Ginásio da Portuguesa,são paulo,brazil,,https://en.wikipedia.org/wiki/UFC_Brazil
Pedro Rizzo,Tank Abbott,ko,punch,,UFC Brazil: Ultimate Brazil,1998-10-16,Ginásio da Portuguesa,são paulo,brazil,,https://en.wikipedia.org/wiki/UFC_Brazil
Tsuyoshi Kosaka,Pete Williams,decision,,,UFC Brazil: Ultimate Brazil,1998-10-16,Ginásio da Portuguesa,são paulo,brazil,,https://en.wikipedia.org/wiki/UFC_Brazil
Ebenezer Fontes Braga,Jeremy Horn,submission,guillotine choke,,UFC Brazil: Ultimate Brazil,1998-10-16,Ginásio da Portuguesa,são paulo,brazil,,https://en.wikipedia.org/wiki/UFC_Brazil
Cesar Marscucci,Paulo Santos,tko,,,UFC Brazil: Ultimate Brazil,1998-10-16,Ginásio da Portuguesa,são paulo,brazil,,https://en.wikipedia.org/wiki/UFC_Brazil
Tulio Palhares,Adriano Santos,tko,,,UFC Brazil: Ultimate Brazil,1998-10-16,Ginásio da Portuguesa,são paulo,brazil,,https://en.wikipedia.org/wiki/UFC_Brazil
Pat Miletich ,Jorge Patino,decision,unanimous,,UFC 18: The Road to the Heavyweight Title,1999-01-08,Pontchartrain Center,new orleans,usa,,https://en.wikipedia.org/wiki/UFC_18
Evan Tanner,Darrel Gholar,submission,rear naked choke,,UFC 18: The Road to the Heavyweight Title,1999-01-08,Pontchartrain Center,new orleans,usa,,https://en.wikipedia.org/wiki/UFC_18
Mikey Burnett,Townsend Saunders,decision,unanimous,,UFC 18: The Road to the Heavyweight Title,1999-01-08,Pontchartrain Center,new orleans,usa,,https://en.wikipedia.org/wiki/UFC_18
Tito Ortiz,Jerry Bohlander,tko,cut,,UFC 18: The Road to the Heavyweight Title,1999-01-08,Pontchartrain Center,new orleans,usa,,https://en.wikipedia.org/wiki/UFC_18
Pedro Rizzo,Mark Coleman,decision,split,,UFC 18: The Road to the Heavyweight Title,1999-01-08,Pontchartrain Center,new orleans,usa,,https://en.wikipedia.org/wiki/UFC_18
Bas Rutten,Tsuyoshi Kosaka,tko,punches,,UFC 18: The Road to the Heavyweight Title,1999-01-08,Pontchartrain Center,new orleans,usa,,https://en.wikipedia.org/wiki/UFC_18
Laverne Clark,Frank Caracci,submission,strikes,,UFC 18: The Road to the Heavyweight Title,1999-01-08,Pontchartrain Center,new orleans,usa,,https://en.wikipedia.org/wiki/UFC_18
Tito Ortiz,Guy Mezger,tko,punches,,UFC 19: Ultimate Young Guns,1999-03-05,Casino Magic Bay St. Louis,bay st louis,usa,,https://en.wikipedia.org/wiki/UFC_19
Gary Goodridge,Andre Roberts,submission,punches,,UFC 19: Ultimate Young Guns,1999-03-05,Casino Magic Bay St. Louis,bay st louis,usa,,https://en.wikipedia.org/wiki/UFC_19
Jeremy Horn,Chuck Liddell,submission,inverted armtriangle choke,,UFC 19: Ultimate Young Guns,1999-03-05,Casino Magic Bay St. Louis,bay st louis,usa,,https://en.wikipedia.org/wiki/UFC_19
Kevin Randleman,Maurice Smith,decision,unanimous,,UFC 19: Ultimate Young Guns,1999-03-05,Casino Magic Bay St. Louis,bay st louis,usa,,https://en.wikipedia.org/wiki/UFC_19
Evan Tanner,Valeri Ignatov,tko,punches and elbows,,UFC 19: Ultimate Young Guns,1999-03-05,Casino Magic Bay St. Louis,bay st louis,usa,,https://en.wikipedia.org/wiki/UFC_19
Pete Williams,Jason Godsey,submission,kneebar,,UFC 19: Ultimate Young Guns,1999-03-05,Casino Magic Bay St. Louis,bay st louis,usa,,https://en.wikipedia.org/wiki/UFC_19
Sione Latu,Joey Roberts,tko,doctor stoppage,,UFC 19: Ultimate Young Guns,1999-03-05,Casino Magic Bay St. Louis,bay st louis,usa,,https://en.wikipedia.org/wiki/UFC_19
Bas Rutten,Kevin Randleman,decision,split,,UFC 20: Battle for the Gold,1999-05-07,Boutwell Memorial Auditorium,birmingham,usa,,https://en.wikipedia.org/wiki/UFC_20
Pedro Rizzo,Tra Telligman,ko,punch,,UFC 20: Battle for the Gold,1999-05-07,Boutwell Memorial Auditorium,birmingham,usa,,https://en.wikipedia.org/wiki/UFC_20
Pete Williams,Travis Fulton,submission,armlock,,UFC 20: Battle for the Gold,1999-05-07,Boutwell Memorial Auditorium,birmingham,usa,,https://en.wikipedia.org/wiki/UFC_20
Wanderlei Silva,Tony Petarra,ko,knee,,UFC 20: Battle for the Gold,1999-05-07,Boutwell Memorial Auditorium,birmingham,usa,,https://en.wikipedia.org/wiki/UFC_20
Marcelo Mello,Dave Roberts,tko,punches,,UFC 20: Battle for the Gold,1999-05-07,Boutwell Memorial Auditorium,birmingham,usa,,https://en.wikipedia.org/wiki/UFC_20
LaVerne Clark,Fabiano Iha,tko,doctor stoppage,,UFC 20: Battle for the Gold,1999-05-07,Boutwell Memorial Auditorium,birmingham,usa,,https://en.wikipedia.org/wiki/UFC_20
Ron Waterman,Chris Condo,tko,punches,,UFC 20: Battle for the Gold,1999-05-07,Boutwell Memorial Auditorium,birmingham,usa,,https://en.wikipedia.org/wiki/UFC_20
Maurice Smith,Marco Ruas,tko,corner stoppage,1.0,UFC 21: Return of the Champions,1999-07-16,Five Seasons Events Center,cedar rapids,usa,,https://en.wikipedia.org/wiki/UFC_21
Pat Miletich ,Andre Pederneiras,tko,doctor stoppage,2.0,UFC 21: Return of the Champions,1999-07-16,Five Seasons Events Center,cedar rapids,usa,,https://en.wikipedia.org/wiki/UFC_21
Jeremy Horn,Daiju Takase,tko,punches,1.0,UFC 21: Return of the Champions,1999-07-16,Five Seasons Events Center,cedar rapids,usa,,https://en.wikipedia.org/wiki/UFC_21
Paul Jones,Flavio Luiz Moura,submission,rearnaked choke,1.0,UFC 21: Return of the Champions,1999-07-16,Five Seasons Events Center,cedar rapids,usa,,https://en.wikipedia.org/wiki/UFC_21
Tsuyoshi Kosaka,Tim Lajcik,tko,corner stoppage,2.0,UFC 21: Return of the Champions,1999-07-16,Five Seasons Events Center,cedar rapids,usa,,https://en.wikipedia.org/wiki/UFC_21
Eugene Jackson,Royce Alger,ko,punch,2.0,UFC 21: Return of the Champions,1999-07-16,Five Seasons Events Center,cedar rapids,usa,,https://en.wikipedia.org/wiki/UFC_21
Andre Roberts,Ron Waterman,ko,punch,1.0,UFC 21: Return of the Champions,1999-07-16,Five Seasons Events Center,cedar rapids,usa,,https://en.wikipedia.org/wiki/UFC_21
Travis Fulton,David Dodd,decision,unanimous,2.0,UFC 21: Return of the Champions,1999-07-16,Five Seasons Events Center,cedar rapids,usa,,https://en.wikipedia.org/wiki/UFC_21
Frank Shamrock ,Tito Ortiz,submission,punches,4.0,UFC 22: Only One Can be Champion,1999-09-24,Lake Charles Civic Center,lake charles,usa,,https://en.wikipedia.org/wiki/UFC_22
Jens Pulver,Alfonso Alcarez,draw,,3.0,UFC 22: Only One Can be Champion,1999-09-24,Lake Charles Civic Center,lake charles,usa,,https://en.wikipedia.org/wiki/UFC_22
Brad Kohler,Steve Judson,ko,punch,1.0,UFC 22: Only One Can be Champion,1999-09-24,Lake Charles Civic Center,lake charles,usa,,https://en.wikipedia.org/wiki/UFC_22
Tim Lajcik,Ron Waterman,draw,,3.0,UFC 22: Only One Can be Champion,1999-09-24,Lake Charles Civic Center,lake charles,usa,,https://en.wikipedia.org/wiki/UFC_22
John Lewis,Lowell Anderson,tko,corner stoppage,3.0,UFC 22: Only One Can be Champion,1999-09-24,Lake Charles Civic Center,lake charles,usa,,https://en.wikipedia.org/wiki/UFC_22
Matt Hughes,Valeri Ignatov,decision,unanimous,3.0,UFC 22: Only One Can be Champion,1999-09-24,Lake Charles Civic Center,lake charles,usa,,https://en.wikipedia.org/wiki/UFC_22
Jeremy Horn,Jason Godsey,submission,armlock,1.0,UFC 22: Only One Can be Champion,1999-09-24,Lake Charles Civic Center,lake charles,usa,,https://en.wikipedia.org/wiki/UFC_22
Chuck Liddell,Paul Jones,tko,cut,1.0,UFC 22: Only One Can be Champion,1999-09-24,Lake Charles Civic Center,lake charles,usa,,https://en.wikipedia.org/wiki/UFC_22
Kevin Randleman,Pete Williams,decision,unanimous,5.0,UFC 23: Ultimate Japan 2,1999-11-19,Tokyo Bay NK Hall,chiba,japan,,https://en.wikipedia.org/wiki/UFC_23
Pedro Rizzo,Tsuyoshi Kosaka,tko,referee stoppage due to strikes,3.0,UFC 23: Ultimate Japan 2,1999-11-19,Tokyo Bay NK Hall,chiba,japan,,https://en.wikipedia.org/wiki/UFC_23
Joe Slick,Jason DeLucia,tko,verbal  due to knee injury,1.0,UFC 23: Ultimate Japan 2,1999-11-19,Tokyo Bay NK Hall,chiba,japan,,https://en.wikipedia.org/wiki/UFC_23
Eugene Jackson,Keiichiro Yamamiya,ko,punch,3.0,UFC 23: Ultimate Japan 2,1999-11-19,Tokyo Bay NK Hall,chiba,japan,,https://en.wikipedia.org/wiki/UFC_23
Kenichi Yamamoto,Katsuhisa Fujii,submission,kneebar,2.0,UFC 23: Ultimate Japan 2,1999-11-19,Tokyo Bay NK Hall,chiba,japan,,https://en.wikipedia.org/wiki/UFC_23
Katsuhisa Fujii,Masutatsu Yano,tko,referee stoppage due to strikes,2.0,UFC 23: Ultimate Japan 2,1999-11-19,Tokyo Bay NK Hall,chiba,japan,,https://en.wikipedia.org/wiki/UFC_23
Kenichi Yamamoto,Daiju Takase,decision,unanimous,3.0,UFC 23: Ultimate Japan 2,1999-11-19,Tokyo Bay NK Hall,chiba,japan,,https://en.wikipedia.org/wiki/UFC_23
Tedd Williams,Steve Judson,tko,punches,1.0,UFC 24: First Defense,2000-03-10,Lake Charles Civic Center,lake charles,usa,,https://en.wikipedia.org/wiki/UFC_24
Lance Gibson,Jermaine Andre,ko,knee,3.0,UFC 24: First Defense,2000-03-10,Lake Charles Civic Center,lake charles,usa,,https://en.wikipedia.org/wiki/UFC_24
Dave Menne,Fabiano Iha,decision,unanimous,3.0,UFC 24: First Defense,2000-03-10,Lake Charles Civic Center,lake charles,usa,,https://en.wikipedia.org/wiki/UFC_24
Bob Cook,Tiki Ghosn,submission,rearnaked choke,2.0,UFC 24: First Defense,2000-03-10,Lake Charles Civic Center,lake charles,usa,,https://en.wikipedia.org/wiki/UFC_24
Jens Pulver,David Velasquez,tko,punches,2.0,UFC 24: First Defense,2000-03-10,Lake Charles Civic Center,lake charles,usa,,https://en.wikipedia.org/wiki/UFC_24
Scott Adams,Ian Freeman,submission,achilles lock,1.0,UFC 24: First Defense,2000-03-10,Lake Charles Civic Center,lake charles,usa,,https://en.wikipedia.org/wiki/UFC_24
Shonie Carter,Brad Gumm,decision,unanimous,2.0,UFC 24: First Defense,2000-03-10,Lake Charles Civic Center,lake charles,usa,,https://en.wikipedia.org/wiki/UFC_24
Tito Ortiz,Wanderlei Silva,decision,unanimous,5.0,UFC 25: Ultimate Japan 3,2000-04-14,Yoyogi National Gymnasium,tokyo,japan,,https://en.wikipedia.org/wiki/UFC_25
Murilo Bustamante,Yoji Anjo,submission,armtriangle choke,2.0,UFC 25: Ultimate Japan 3,2000-04-14,Yoyogi National Gymnasium,tokyo,japan,,https://en.wikipedia.org/wiki/UFC_25
Sanae Kikuta,Eugene Jackson,submission,armbar,1.0,UFC 25: Ultimate Japan 3,2000-04-14,Yoyogi National Gymnasium,tokyo,japan,,https://en.wikipedia.org/wiki/UFC_25
Ron Waterman,Satoshi Honma,decision,unanimous,3.0,UFC 25: Ultimate Japan 3,2000-04-14,Yoyogi National Gymnasium,tokyo,japan,,https://en.wikipedia.org/wiki/UFC_25
Ikuhisa Minowa,Joe Slick,tko,referee stoppage due to cut,3.0,UFC 25: Ultimate Japan 3,2000-04-14,Yoyogi National Gymnasium,tokyo,japan,,https://en.wikipedia.org/wiki/UFC_25
LaVerne Clark,Koji Oishi,decision,majority,3.0,UFC 25: Ultimate Japan 3,2000-04-14,Yoyogi National Gymnasium,tokyo,japan,,https://en.wikipedia.org/wiki/UFC_25
Kevin Randleman ,Pedro Rizzo,decision,unanimous,5.0,UFC 26: Ultimate Field of Dreams,2000-06-09,Five Seasons Events Center,cedar rapids,usa,1100.0,https://en.wikipedia.org/wiki/UFC_26
Tyrone Roberts,David Dodd,decision,unanimous,3.0,UFC 26: Ultimate Field of Dreams,2000-06-09,Five Seasons Events Center,cedar rapids,usa,1100.0,https://en.wikipedia.org/wiki/UFC_26
Pat Miletich ,John Alessio,submission,armbar,2.0,UFC 26: Ultimate Field of Dreams,2000-06-09,Five Seasons Events Center,cedar rapids,usa,1100.0,https://en.wikipedia.org/wiki/UFC_26
Amaury Bitetti,Alex Andrade,disqualification,kicking with shoes,2.0,UFC 26: Ultimate Field of Dreams,2000-06-09,Five Seasons Events Center,cedar rapids,usa,1100.0,https://en.wikipedia.org/wiki/UFC_26
Matt Hughes,Marcelo Aguiar,tko,doctor stoppage,1.0,UFC 26: Ultimate Field of Dreams,2000-06-09,Five Seasons Events Center,cedar rapids,usa,1100.0,https://en.wikipedia.org/wiki/UFC_26
Jens Pulver,Joao Roque,decision,unanimous,3.0,UFC 26: Ultimate Field of Dreams,2000-06-09,Five Seasons Events Center,cedar rapids,usa,1100.0,https://en.wikipedia.org/wiki/UFC_26
Ian Freeman,Nate Schroeder,submission,punches,2.0,UFC 26: Ultimate Field of Dreams,2000-06-09,Five Seasons Events Center,cedar rapids,usa,1100.0,https://en.wikipedia.org/wiki/UFC_26
Shonie Carter,Adrian Serrano,decision,unanimous,2.0,UFC 26: Ultimate Field of Dreams,2000-06-09,Five Seasons Events Center,cedar rapids,usa,1100.0,https://en.wikipedia.org/wiki/UFC_26
Pedro Rizzo,Dan Severn,submission,punches,1.0,UFC 27: Ultimate Bad Boyz,2000-09-22,Lakefront Arena,new orleans,usa,,https://en.wikipedia.org/wiki/UFC_27
Maurice Smith,Bobby Hoffman,decision,split,3.0,UFC 27: Ultimate Bad Boyz,2000-09-22,Lakefront Arena,new orleans,usa,,https://en.wikipedia.org/wiki/UFC_27
Jeremy Horn,Eugene Jackson,submission,armbar,1.0,UFC 27: Ultimate Bad Boyz,2000-09-22,Lakefront Arena,new orleans,usa,,https://en.wikipedia.org/wiki/UFC_27
Fabiano Iha,LaVerne Clark,submission,armbar,1.0,UFC 27: Ultimate Bad Boyz,2000-09-22,Lakefront Arena,new orleans,usa,,https://en.wikipedia.org/wiki/UFC_27
Yuki Kondo,Alexandre Dantas,tko,strikes,3.0,UFC 27: Ultimate Bad Boyz,2000-09-22,Lakefront Arena,new orleans,usa,,https://en.wikipedia.org/wiki/UFC_27
Ian Freeman,Tedd Williams,decision,unanimous,3.0,UFC 27: Ultimate Bad Boyz,2000-09-22,Lakefront Arena,new orleans,usa,,https://en.wikipedia.org/wiki/UFC_27
Jeff Monson,Tim Lajcik,decision,unanimous,2.0,UFC 27: Ultimate Bad Boyz,2000-09-22,Lakefront Arena,new orleans,usa,,https://en.wikipedia.org/wiki/UFC_27
Brad Gumm,CJ Fernandes,draw,,2.0,UFC 27: Ultimate Bad Boyz,2000-09-22,Lakefront Arena,new orleans,usa,,https://en.wikipedia.org/wiki/UFC_27
Randy Couture,Kevin Randleman ,tko,punches,3.0,UFC 28: High Stakes,2000-11-17,Trump Taj Mahal,atlantic city,usa,,https://en.wikipedia.org/wiki/UFC_28
Renato Sobral,Maurice Smith,decision,majority,3.0,UFC 28: High Stakes,2000-11-17,Trump Taj Mahal,atlantic city,usa,,https://en.wikipedia.org/wiki/UFC_28
Josh Barnett,Gan McGee,tko,punches,2.0,UFC 28: High Stakes,2000-11-17,Trump Taj Mahal,atlantic city,usa,,https://en.wikipedia.org/wiki/UFC_28
Andrei Arlovski,Aaron Brink,submission,armbar,1.0,UFC 28: High Stakes,2000-11-17,Trump Taj Mahal,atlantic city,usa,,https://en.wikipedia.org/wiki/UFC_28
Jens Pulver,John Lewis,ko,punch,1.0,UFC 28: High Stakes,2000-11-17,Trump Taj Mahal,atlantic city,usa,,https://en.wikipedia.org/wiki/UFC_28
Mark Hughes,Alex Stiebling,decision,unanimous,2.0,UFC 28: High Stakes,2000-11-17,Trump Taj Mahal,atlantic city,usa,,https://en.wikipedia.org/wiki/UFC_28
Ben Earwood,Chris Lytle,decision,unanimous,2.0,UFC 28: High Stakes,2000-11-17,Trump Taj Mahal,atlantic city,usa,,https://en.wikipedia.org/wiki/UFC_28
Tito Ortiz ,Yuki Kondo,submission,cobra choke,1.0,UFC 29: Defense of the Belts,2000-12-16,Differ Ariake Arena,tokyo,japan,1414.0,https://en.wikipedia.org/wiki/UFC_29
Pat Miletich ,Kenichi Yamamoto,submission,guillotine choke,2.0,UFC 29: Defense of the Belts,2000-12-16,Differ Ariake Arena,tokyo,japan,1414.0,https://en.wikipedia.org/wiki/UFC_29
Matt Lindland,Yoji Anjo,tko,strikes,1.0,UFC 29: Defense of the Belts,2000-12-16,Differ Ariake Arena,tokyo,japan,1414.0,https://en.wikipedia.org/wiki/UFC_29
Fabiano Iha,Daiju Takase,tko,strikes,1.0,UFC 29: Defense of the Belts,2000-12-16,Differ Ariake Arena,tokyo,japan,1414.0,https://en.wikipedia.org/wiki/UFC_29
Evan Tanner,Lance Gibson,tko,strikes,1.0,UFC 29: Defense of the Belts,2000-12-16,Differ Ariake Arena,tokyo,japan,1414.0,https://en.wikipedia.org/wiki/UFC_29
Dennis Hallman,Matt Hughes,submission,armbar,1.0,UFC 29: Defense of the Belts,2000-12-16,Differ Ariake Arena,tokyo,japan,1414.0,https://en.wikipedia.org/wiki/UFC_29
Chuck Liddell,Jeff Monson,decision,unanimous,3.0,UFC 29: Defense of the Belts,2000-12-16,Differ Ariake Arena,tokyo,japan,1414.0,https://en.wikipedia.org/wiki/UFC_29
Tito Ortiz ,Evan Tanner,ko,slam,1.0,UFC 30: Battle on the Boardwalk,2001-02-23,Trump Taj Mahal,atlantic city,usa,3000.0,https://en.wikipedia.org/wiki/UFC_30
Jens Pulver,Caol Uno,decision,unanimous,5.0,UFC 30: Battle on the Boardwalk,2001-02-23,Trump Taj Mahal,atlantic city,usa,3000.0,https://en.wikipedia.org/wiki/UFC_30
